employee_id,first_name,last_name,age,status,full_date,salary,email,phone,performance,remote_work,department,location
EMP1043,Bob,Garcia,,Inactive,2023-05-23,64744.08,bob.garcia@example.com,1645-977-93,Excellent,False,Admin,California
EMP1044,Eva,Brown,,Active,2020-07-08,94399.91,eva.brown@example.com,5232-194-167,Good,True,Finance,California
EMP1045,Alice,Brown,25.0,Pending,2021-06-20,61310.74,alice.brown@example.com,6102-776-8,Average,True,HR,New York
EMP1046,Grace,Garcia,,Active,2024-12-13,98371.37,grace.garcia@example.com,7499-564-121,Excellent,False,Cloud Tech,Texas
EMP1047,Alice,Davis,35.0,Active,2022-05-30,58921.19,alice.davis@example.com,3103-037-22,Average,True,Sales,Illinois
EMP1048,Alice,Miller,35.0,Active,2023-09-27,57195.55,alice.miller@example.com,6831-472-759,Excellent,False,Admin,Nevada
EMP1049,Grace,Miller,,Active,2024-11-05,61375.12,grace.miller@example.com,1227-770-792,Excellent,True,DevOps,New York
EMP1050,Charlie,Davis,40.0,Pending,2021-11-11,104767.05,charlie.davis@example.com,3496-050-165,Excellent,False,Cloud Tech,New York
EMP1051,David,Miller,35.0,Active,2022-02-22,111051.67,david.miller@example.com,7998-407-677,Good,False,Admin,Nevada
EMP1052,David,Williams,30.0,Inactive,2024-08-07,105674.18,david.williams@example.com,9973-080-694,Good,False,Finance,California
EMP1053,Alice,Brown,30.0,Inactive,2024-11-05,54859.45,alice.brown@example.com,8146-717-956,Average,False,Finance,California
EMP1054,Frank,Davis,,Pending,2021-11-09,115746.6,frank.davis@example.com,6024-375-737,Excellent,True,Finance,Nevada
EMP1055,Eva,Brown,30.0,Active,2020-08-10,91759.99,eva.brown@example.com,3959-724-664,Excellent,True,Sales,California
EMP1056,Frank,Garcia,40.0,Active,2022-02-27,112965.33,frank.garcia@example.com,7293-417-222,Good,False,Sales,Illinois
EMP1057,Alice,Smith,40.0,Pending,2023-11-07,100360.1,alice.smith@example.com,2971-674-337,Excellent,False,Cloud Tech,Illinois
EMP1058,David,Williams,35.0,Pending,2021-11-07,93620.88,david.williams@example.com,5452-280-0,Good,False,Finance,Texas
EMP1059,Bob,Jones,35.0,Pending,2022-04-16,72832.8,bob.jones@example.com,5619-318-373,Excellent,True,Sales,California
EMP1060,Charlie,Williams,30.0,Inactive,2023-10-19,102369.42,charlie.williams@example.com,5508-428-909,Average,True,Finance,Nevada
EMP1061,Eva,Davis,40.0,Inactive,2021-08-10,64712.79,eva.davis@example.com,7711-991-807,Excellent,True,Sales,Texas
EMP1062,Frank,Jones,40.0,Pending,2021-03-13,85782.18,frank.jones@example.com,1213-524-786,Excellent,True,Finance,Florida
EMP1063,Charlie,Smith,25.0,Pending,2023-07-20,93348.26,charlie.smith@example.com,1255-213-759,Poor,False,HR,Illinois
EMP1064,David,Davis,35.0,Active,2020-02-20,53234.96,david.davis@example.com,3754-821-455,Good,False,Admin,New York
EMP1065,Bob,Johnson,40.0,Pending,2021-02-02,100284.21,bob.johnson@example.com,5328-632-665,Excellent,False,Finance,Nevada
EMP1066,Grace,Brown,30.0,Pending,2020-01-12,112486.19,grace.brown@example.com,7850-720-810,Excellent,True,Admin,Nevada
EMP1067,Bob,Smith,40.0,Pending,2022-11-26,82518.49,bob.smith@example.com,5562-606-028,Poor,True,Admin,New York
EMP1068,Bob,Brown,40.0,Pending,2022-12-23,119152.47,bob.brown@example.com,8466-845-49,Poor,True,Admin,Florida
EMP1069,Heidi,Miller,,Inactive,2024-08-28,113479.83,heidi.miller@example.com,4892-673-898,Good,False,DevOps,Illinois
EMP1070,Charlie,Johnson,40.0,Active,2024-09-16,94636.3,charlie.johnson@example.com,7563-410-855,Poor,False,Finance,California
EMP1071,Heidi,Johnson,30.0,Active,2024-01-01,70000.97,heidi.johnson@example.com,2884-318-847,Average,True,HR,Florida
EMP1072,Frank,Smith,,Active,2021-04-18,76812.47,frank.smith@example.com,5200-894-345,Poor,False,Cloud Tech,New York
EMP1073,David,Johnson,25.0,Inactive,2023-01-16,82614.7,david.johnson@example.com,8105-485-100,Average,True,Finance,Florida
EMP1074,Grace,Jones,40.0,Active,2024-10-20,111645.97,grace.jones@example.com,7490-753-997,Good,True,Sales,Nevada
EMP1075,Heidi,Johnson,25.0,Inactive,2024-10-13,112414.91,heidi.johnson@example.com,9354-492-682,Good,False,HR,California
EMP1076,David,Brown,40.0,Inactive,2022-09-21,52031.74,david.brown@example.com,1589-357-125,Good,True,Admin,California
EMP1077,Grace,Brown,30.0,Pending,2022-12-29,51887.65,grace.brown@example.com,6110-627-370,Good,False,Finance,New York
EMP1078,Alice,Davis,25.0,Active,2024-11-10,82318.89,alice.davis@example.com,5869-886-496,Good,True,DevOps,Florida
EMP1079,Grace,Brown,35.0,Inactive,2021-11-22,103286.08,grace.brown@example.com,6776-228-276,Average,False,Admin,Florida
EMP1080,Grace,Davis,35.0,Active,2024-03-14,87759.33,grace.davis@example.com,2881-377-027,Average,False,Cloud Tech,Florida
EMP1081,Frank,Brown,30.0,Pending,2020-03-23,102796.32,frank.brown@example.com,5196-115-939,Good,False,DevOps,Texas
EMP1082,David,Jones,25.0,Active,2020-09-15,83149.27,david.jones@example.com,8215-454-469,Poor,True,Sales,New York
EMP1083,David,Garcia,40.0,Inactive,2020-12-09,92412.49,david.garcia@example.com,2296-044-326,Excellent,True,DevOps,California
EMP1084,Bob,Davis,30.0,Pending,2020-02-22,115022.1,bob.davis@example.com,1851-067-93,Good,False,HR,Texas
EMP1085,Grace,Williams,40.0,Active,2023-04-27,98343.01,grace.williams@example.com,9756-792-286,Poor,False,DevOps,New York
EMP1086,Bob,Miller,35.0,Active,2024-06-18,118869.1,bob.miller@example.com,7725-199-662,Excellent,True,DevOps,Illinois
EMP1087,Frank,Smith,,Inactive,2020-05-21,85417.26,frank.smith@example.com,6580-741-208,Good,True,Finance,Nevada
EMP1088,Grace,Brown,40.0,Inactive,2023-07-25,112410.25,grace.brown@example.com,4818-139-889,Good,True,Cloud Tech,Florida
EMP1089,Charlie,Johnson,40.0,Pending,2023-08-25,68905.77,charlie.johnson@example.com,9837-801-819,Average,False,Admin,Nevada
EMP1090,Heidi,Garcia,40.0,Pending,2021-07-03,72561.32,heidi.garcia@example.com,4339-718-955,Excellent,True,Finance,Nevada
EMP1091,Bob,Brown,35.0,Inactive,2023-03-13,92723.22,bob.brown@example.com,9070-562-607,Excellent,True,Finance,New York
EMP1092,Alice,Johnson,40.0,Inactive,2021-03-10,74837.75,alice.johnson@example.com,5641-118-241,Poor,False,HR,New York
EMP1093,Eva,Miller,,Pending,2020-01-21,86163.91,eva.miller@example.com,2412-462-094,Average,True,DevOps,California
EMP1094,David,Miller,40.0,Active,2023-11-15,83326.52,david.miller@example.com,2004-615-264,Average,True,Finance,Illinois
EMP1095,Heidi,Miller,25.0,Active,2022-04-08,98425.1,heidi.miller@example.com,4610-339-936,Average,True,Cloud Tech,California
EMP1096,Frank,Johnson,40.0,Inactive,2022-05-21,119764.2,frank.johnson@example.com,8861-405-785,Average,False,Sales,Illinois
EMP1097,Frank,Brown,40.0,Inactive,2021-04-17,58445.91,frank.brown@example.com,1706-304-890,Excellent,False,HR,California
EMP1098,Bob,Miller,,Active,2021-03-19,101702.33,bob.miller@example.com,3824-967-182,Excellent,False,DevOps,New York
EMP1099,Eva,Jones,25.0,Active,2022-01-09,,eva.jones@example.com,2582-386-869,Good,False,Admin,California
EMP1100,Charlie,Davis,35.0,Pending,2021-08-21,98819.22,charlie.davis@example.com,7942-007-48,Good,False,Cloud Tech,Texas
EMP1101,Heidi,Johnson,25.0,Inactive,2022-08-19,83509.99,heidi.johnson@example.com,4653-984-027,Average,False,Cloud Tech,Illinois
EMP1102,Alice,Johnson,35.0,Active,2022-03-31,84422.26,alice.johnson@example.com,9141-612-845,Average,False,Finance,Texas
EMP1103,Alice,Brown,30.0,Inactive,2020-06-23,119574.27,alice.brown@example.com,3985-547-434,Average,True,Admin,Illinois
EMP1104,Grace,Johnson,,Active,2024-05-07,86580.08,grace.johnson@example.com,5379-502-096,Good,True,Sales,Illinois
EMP1105,Heidi,Johnson,35.0,Inactive,2023-03-10,93471.91,heidi.johnson@example.com,2687-681-0,Poor,False,Sales,Florida
EMP1106,Bob,Miller,30.0,Inactive,2023-09-14,55683.12,bob.miller@example.com,8071-569-561,Poor,True,DevOps,New York
EMP1107,Bob,Brown,30.0,Inactive,2023-11-12,91566.78,bob.brown@example.com,1753-703-03,Good,True,Cloud Tech,Florida
EMP1108,David,Miller,35.0,Pending,2024-10-26,81782.19,david.miller@example.com,5319-433-749,Good,False,DevOps,California
EMP1109,Eva,Davis,,Inactive,2020-08-23,88119.37,eva.davis@example.com,4793-036-148,Good,True,DevOps,New York
EMP1110,Eva,Garcia,30.0,Active,2024-06-11,71532.83,eva.garcia@example.com,8728-399-920,Good,True,Cloud Tech,Texas
EMP1111,Eva,Davis,40.0,Pending,2021-09-14,98981.36,eva.davis@example.com,9212-493-842,Good,True,Cloud Tech,Florida
EMP1112,Heidi,Garcia,40.0,Active,2024-12-26,80242.01,heidi.garcia@example.com,8948-706-04,Good,True,Cloud Tech,Illinois
EMP1113,Eva,Miller,25.0,Pending,2024-09-08,110236.18,eva.miller@example.com,6641-877-579,Average,True,Cloud Tech,New York
EMP1114,Alice,Davis,35.0,Active,2022-08-21,86327.47,alice.davis@example.com,3046-875-062,Average,False,Sales,Texas
EMP1115,Eva,Brown,30.0,Pending,2024-07-25,84420.81,eva.brown@example.com,5190-361-331,Average,False,Sales,Florida
EMP1116,Frank,Smith,40.0,Pending,2020-08-02,110041.32,frank.smith@example.com,5411-076-094,Average,False,HR,California
EMP1117,Heidi,Miller,35.0,Pending,2020-03-16,81837.81,heidi.miller@example.com,4317-350-582,Good,True,DevOps,Florida
EMP1118,Frank,Garcia,25.0,Active,2023-09-08,110855.72,frank.garcia@example.com,1997-179-109,Poor,False,Finance,Illinois
EMP1119,Alice,Jones,30.0,Pending,2024-03-29,84894.52,alice.jones@example.com,6512-070-48,Excellent,True,Sales,California
EMP1120,Alice,Garcia,30.0,Active,2021-08-12,80668.13,alice.garcia@example.com,6110-804-660,Good,True,HR,Illinois
EMP1121,Bob,Jones,25.0,Active,2023-12-24,61086.47,bob.jones@example.com,9639-907-675,Excellent,True,DevOps,Illinois
EMP1122,Grace,Johnson,25.0,Inactive,2020-08-28,95339.68,grace.johnson@example.com,9915-078-592,Poor,True,Admin,Texas
EMP1123,Eva,Davis,,Inactive,2024-09-05,83774.97,eva.davis@example.com,1109-193-927,Average,False,DevOps,California
EMP1124,Heidi,Jones,,Active,2023-05-12,85576.86,heidi.jones@example.com,4567-972-319,Poor,False,Admin,Florida
EMP1125,Bob,Garcia,35.0,Pending,2021-07-01,107438.46,bob.garcia@example.com,2496-854-97,Good,True,Finance,California
EMP1126,Eva,Johnson,,Inactive,2024-11-07,60401.68,eva.johnson@example.com,2274-954-507,Average,False,Sales,Nevada
EMP1127,Frank,Smith,35.0,Inactive,2022-07-21,115299.66,frank.smith@example.com,9203-880-652,Good,True,Sales,Illinois
EMP1128,David,Brown,,Inactive,2020-03-30,72272.34,david.brown@example.com,3315-377-958,Average,False,Finance,New York
EMP1129,Grace,Brown,40.0,Active,2022-10-11,117537.71,grace.brown@example.com,9594-652-169,Excellent,False,DevOps,Nevada
EMP1130,Frank,Brown,25.0,Pending,2022-07-24,51074.33,frank.brown@example.com,7303-379-336,Excellent,True,Finance,Texas
EMP1131,Charlie,Jones,25.0,Inactive,2023-06-30,98489.32,charlie.jones@example.com,5636-205-014,Excellent,False,Finance,California
EMP1132,Frank,Smith,,Pending,2024-01-11,112120.71,frank.smith@example.com,8124-739-49,Poor,True,Finance,California
EMP1133,Alice,Jones,,Pending,2023-11-02,114465.04,alice.jones@example.com,3342-342-57,Good,False,Cloud Tech,New York
EMP1134,Bob,Davis,40.0,Pending,2024-11-22,57035.51,bob.davis@example.com,3230-241-025,Poor,True,Cloud Tech,Nevada
EMP1135,Eva,Jones,25.0,Active,2021-08-23,75092.43,eva.jones@example.com,1534-735-527,Excellent,True,Cloud Tech,California
EMP1136,David,Smith,,Pending,2024-06-11,62603.98,david.smith@example.com,9611-223-385,Good,False,Finance,Illinois
EMP1137,Grace,Smith,,Inactive,2023-04-09,60018.24,grace.smith@example.com,5596-309-937,Excellent,False,DevOps,New York
EMP1138,Eva,Davis,40.0,Active,2024-07-05,82567.73,eva.davis@example.com,4253-042-896,Poor,True,HR,Nevada
EMP1139,Charlie,Smith,25.0,Pending,2021-09-04,94725.71,charlie.smith@example.com,3179-128-684,Poor,False,Finance,California
EMP1140,Eva,Garcia,40.0,Inactive,2024-10-13,83824.56,eva.garcia@example.com,7872-558-776,Poor,False,HR,New York
EMP1141,Frank,Smith,,Inactive,2020-02-14,118456.11,frank.smith@example.com,4969-033-372,Excellent,True,HR,Nevada
EMP1142,Eva,Brown,25.0,Pending,2020-04-10,113743.19,eva.brown@example.com,6346-692-547,Good,True,Sales,Nevada
EMP1143,Eva,Garcia,30.0,Active,2023-07-27,63309.24,eva.garcia@example.com,1214-785-389,Good,False,Sales,California
EMP1144,Charlie,Garcia,25.0,Active,2021-09-24,105202.73,charlie.garcia@example.com,7895-677-664,Excellent,True,DevOps,Nevada
EMP1145,Frank,Davis,30.0,Inactive,2024-03-10,79085.22,frank.davis@example.com,7546-027-340,Good,True,Cloud Tech,California
EMP1146,Frank,Williams,,Active,2021-06-10,113983.43,frank.williams@example.com,5148-881-430,Excellent,True,Sales,California
EMP1147,Eva,Williams,35.0,Active,2020-10-15,102790.6,eva.williams@example.com,1150-835-353,Good,False,Cloud Tech,Florida
EMP1148,Grace,Smith,,Inactive,2020-01-29,68512.1,grace.smith@example.com,4439-284-043,Average,False,HR,Texas
EMP1149,Frank,Garcia,35.0,Pending,2022-01-30,57584.23,frank.garcia@example.com,5669-078-262,Average,True,Sales,Florida
EMP1150,Alice,Williams,,Pending,2021-03-29,95335.67,alice.williams@example.com,3373-898-774,Poor,False,Sales,California
EMP1151,Heidi,Williams,35.0,Active,2020-10-13,53174.28,heidi.williams@example.com,1536-637-779,Average,True,DevOps,Florida
EMP1152,Heidi,Smith,25.0,Pending,2020-10-04,77205.21,heidi.smith@example.com,5292-407-552,Average,False,Cloud Tech,New York
EMP1153,Grace,Williams,,Active,2024-12-18,79041.92,grace.williams@example.com,6668-459-089,Average,True,DevOps,Nevada
EMP1154,Heidi,Jones,,Active,2023-11-14,75937.1,heidi.jones@example.com,2259-999-662,Excellent,True,Finance,California
EMP1155,David,Johnson,35.0,Inactive,2023-01-20,113118.73,david.johnson@example.com,6186-371-596,Average,False,Cloud Tech,Nevada
EMP1156,Alice,Davis,40.0,Active,2024-10-02,107693.38,alice.davis@example.com,4121-820-969,Average,True,HR,New York
EMP1157,David,Johnson,,Inactive,2021-05-13,119217.46,david.johnson@example.com,2316-433-480,Poor,False,Cloud Tech,Texas
EMP1158,David,Smith,25.0,Pending,2021-03-18,106913.71,david.smith@example.com,7058-025-661,Average,False,Sales,New York
EMP1159,Charlie,Brown,,Active,2020-09-23,87815.08,charlie.brown@example.com,1286-716-322,Average,True,Cloud Tech,California
EMP1160,Bob,Davis,25.0,Inactive,2024-06-05,105190.21,bob.davis@example.com,4672-994-937,Good,True,Admin,Texas
EMP1161,Alice,Smith,30.0,Active,2024-02-28,79467.24,alice.smith@example.com,7430-271-692,Poor,False,HR,Texas
EMP1162,Bob,Garcia,40.0,Pending,2023-04-30,57633.78,bob.garcia@example.com,8597-779-013,Poor,True,Finance,California
EMP1163,Alice,Brown,,Pending,2020-03-04,54257.78,alice.brown@example.com,7546-926-328,Poor,True,HR,Florida
EMP1164,Grace,Johnson,40.0,Inactive,2023-12-29,113679.06,grace.johnson@example.com,6762-916-031,Poor,True,DevOps,Texas
EMP1165,Bob,Smith,35.0,Active,2020-09-15,69251.12,bob.smith@example.com,4841-376-814,Poor,True,Sales,New York
EMP1166,Frank,Garcia,40.0,Inactive,2022-07-18,85388.58,frank.garcia@example.com,1185-672-437,Poor,True,Sales,Illinois
EMP1167,Bob,Davis,,Inactive,2022-07-13,112166.37,bob.davis@example.com,7017-656-35,Excellent,False,DevOps,New York
EMP1168,Heidi,Davis,40.0,Active,2021-10-02,79873.48,heidi.davis@example.com,4125-777-0,Average,False,Finance,Nevada
EMP1169,Frank,Miller,30.0,Active,2020-07-05,108224.03,frank.miller@example.com,1837-274-219,Poor,True,DevOps,Florida
EMP1170,Bob,Garcia,35.0,Active,2023-04-16,116963.72,bob.garcia@example.com,9124-186-209,Average,True,Admin,Illinois
EMP1171,Bob,Jones,40.0,Inactive,2024-11-12,114109.06,bob.jones@example.com,4275-230-836,Average,True,HR,Nevada
EMP1172,Eva,Williams,,Active,2023-03-29,85518.88,eva.williams@example.com,8164-708-99,Excellent,False,HR,California
EMP1173,Heidi,Brown,30.0,Pending,2022-01-22,58041.97,heidi.brown@example.com,6335-331-059,Poor,True,Cloud Tech,California
EMP1174,David,Garcia,40.0,Pending,2023-10-14,94988.94,david.garcia@example.com,5313-122-05,Good,False,Sales,Illinois
EMP1175,Eva,Miller,25.0,Pending,2024-04-10,71628.93,eva.miller@example.com,8155-839-385,Excellent,False,Admin,California
EMP1176,Alice,Williams,30.0,Pending,2022-03-31,54870.98,alice.williams@example.com,6133-155-205,Good,False,Admin,Illinois
EMP1177,Alice,Williams,25.0,Active,2022-02-09,79388.27,alice.williams@example.com,5063-731-494,Average,True,DevOps,Illinois
EMP1178,Frank,Smith,35.0,Pending,2023-05-06,55946.99,frank.smith@example.com,1364-971-88,Average,False,DevOps,California
EMP1179,Charlie,Williams,,Active,2021-07-11,81017.91,charlie.williams@example.com,2419-562-524,Excellent,True,Cloud Tech,Nevada
EMP1180,Heidi,Jones,40.0,Pending,2020-08-21,74162.1,heidi.jones@example.com,7150-997-682,Excellent,False,HR,New York
EMP1181,Heidi,Davis,,Active,2021-03-27,77668.44,heidi.davis@example.com,8903-091-435,Good,True,DevOps,California
EMP1182,Alice,Miller,30.0,Active,2024-04-14,67886.37,alice.miller@example.com,3910-257-431,Poor,False,HR,New York
EMP1183,Alice,Williams,40.0,Active,2020-09-21,76614.52,alice.williams@example.com,6303-975-244,Good,True,DevOps,Florida
EMP1184,Frank,Smith,25.0,Active,2022-06-12,51311.91,frank.smith@example.com,8640-355-32,Excellent,False,Finance,Nevada
EMP1185,Frank,Jones,,Inactive,2023-12-24,94809.92,frank.jones@example.com,8033-968-526,Good,True,Finance,Illinois
EMP1186,Grace,Johnson,25.0,Pending,2022-07-31,108241.81,grace.johnson@example.com,1713-023-20,Excellent,True,HR,New York
EMP1187,Bob,Davis,40.0,Inactive,2023-04-21,78031.49,bob.davis@example.com,2983-381-673,Good,True,Cloud Tech,New York
EMP1188,Eva,Davis,35.0,Active,2020-06-05,85733.83,eva.davis@example.com,2336-293-448,Excellent,True,Admin,California
EMP1189,David,Miller,35.0,Pending,2024-07-27,60338.29,david.miller@example.com,7347-156-626,Excellent,False,HR,Nevada
EMP1190,Eva,Davis,30.0,Active,2024-04-05,103140.67,eva.davis@example.com,7689-627-065,Excellent,False,Admin,Illinois
EMP1191,Heidi,Williams,40.0,Inactive,2023-10-26,114690.8,heidi.williams@example.com,1498-282-466,Poor,True,Sales,Illinois
EMP1192,Frank,Smith,35.0,Active,2022-08-18,80954.56,frank.smith@example.com,4746-897-151,Good,False,Admin,Florida
EMP1193,Eva,Davis,,Pending,2020-05-31,71728.55,eva.davis@example.com,7323-008-575,Good,True,Cloud Tech,California
EMP1194,Alice,Davis,35.0,Pending,2024-11-04,118415.8,alice.davis@example.com,6656-749-159,Good,True,HR,Texas
EMP1195,Grace,Johnson,40.0,Pending,2020-03-25,81481.36,grace.johnson@example.com,1692-364-586,Excellent,False,Sales,Illinois
EMP1196,David,Johnson,35.0,Pending,2020-11-04,117040.57,david.johnson@example.com,5066-337-049,Good,True,Sales,Florida
EMP1197,Frank,Brown,25.0,Active,2020-03-21,67342.06,frank.brown@example.com,2497-243-991,Good,True,Sales,Nevada
EMP1198,Heidi,Jones,,Active,2022-01-15,76099.64,heidi.jones@example.com,1166-918-35,Excellent,False,Sales,Illinois
EMP1199,Grace,Williams,35.0,Active,2024-06-04,94162.06,grace.williams@example.com,2644-886-945,Average,True,DevOps,Illinois
EMP1200,Frank,Davis,25.0,Inactive,2021-08-04,67639.7,frank.davis@example.com,1195-243-639,Excellent,True,Sales,Nevada
EMP1201,Charlie,Garcia,35.0,Pending,2020-10-16,114172.25,charlie.garcia@example.com,2701-168-645,Good,True,Cloud Tech,Illinois
EMP1202,Grace,Davis,30.0,Active,2021-09-26,89124.54,grace.davis@example.com,2252-237-280,Excellent,True,Sales,Nevada
EMP1203,Frank,Smith,30.0,Pending,2023-11-04,113871.36,frank.smith@example.com,7932-302-345,Average,False,DevOps,Nevada
EMP1204,Grace,Brown,,Inactive,2021-09-24,62618.4,grace.brown@example.com,7912-141-613,Excellent,False,HR,Texas
EMP1205,Heidi,Jones,30.0,Active,2020-06-07,70705.45,heidi.jones@example.com,1509-377-099,Good,False,Admin,New York
EMP1206,Alice,Garcia,35.0,Pending,2022-02-10,60797.69,alice.garcia@example.com,4090-138-068,Average,True,Sales,New York
EMP1207,Charlie,Brown,40.0,Inactive,2023-10-17,100371.0,charlie.brown@example.com,8477-596-554,Poor,True,Cloud Tech,Florida
EMP1208,Eva,Miller,40.0,Active,2021-09-25,117591.76,eva.miller@example.com,5356-690-550,Good,False,Admin,Illinois
EMP1209,David,Jones,35.0,Inactive,2022-08-03,103860.7,david.jones@example.com,7620-918-42,Average,True,DevOps,Illinois
EMP1210,Grace,Davis,30.0,Active,2024-11-22,67500.22,grace.davis@example.com,5797-863-049,Average,True,Admin,Illinois
EMP1211,Frank,Davis,,Pending,2024-10-09,58727.44,frank.davis@example.com,5057-397-690,Poor,True,Cloud Tech,Nevada
EMP1212,Charlie,Jones,35.0,Active,2024-08-28,80623.08,charlie.jones@example.com,5671-649-327,Excellent,True,Finance,Illinois
EMP1213,David,Davis,40.0,Inactive,2020-04-19,77751.78,david.davis@example.com,9802-714-871,Excellent,False,HR,Texas
